Date,משחה ערב,משחה בוקר,לדבר עם חבר,קריאה באנגלית,שכיבות סמיכה,הקלדה,מדיטציה,שינון מילים,דיבור באנגלית,גיטהאב,קוח,תרגילי מחשבה,ליטקוד,אירובי,שיפור טכנולוגיות לעבודה,סיכום תוכן בעבודה,התאמנות על הצגה עצמית,ויטמין C,אסטקסנטין,
2024-08-05,0.0637,0.0100,0.0519,0.0563,0.0275,0.0598,0.0356,0.0561,0.0542,0.1007,0.0582,0.0614,0.0519,0.0007,0.0000,0.0000,0.0000,0.0356,0.0335,
2024-08-04,0.0125,0.0105,0.0000,0.0046,0.0183,0.0083,0.0247,0.0044,0.0024,0.1002,0.0066,0.0099,0.0000,0.0000,0.0000,0.0000,0.0000,0.0178,0.0156,
2024-08-03,0.0131,0.0111,0.0000,0.0048,0.0187,0.0087,0.0252,0.0046,0.0026,0.1023,0.0070,0.0105,0.0000,0.0000,0.0000,0.0000,0.0000,0.0185,0.0162,
2024-08-02,0.0139,0.0117,0.0000,0.0051,0.0191,0.0092,0.0257,0.0049,0.0027,0.1043,0.0074,0.0111,0.0000,0.0000,0.0000,0.0000,0.0000,0.0192,0.0168,
2024-08-01,0.0146,0.0124,0.0000,0.0054,0.0195,0.0097,0.0262,0.0051,0.0028,0.1065,0.0078,0.0117,0.0000,0.0000,0.0000,0.0000,0.0000,0.0199,0.0175,
2024-07-31,0.0154,0.0131,0.0000,0.0057,0.0199,0.0103,0.0268,0.0054,0.0030,0.1086,0.0082,0.0123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0207,0.0182,
2024-07-30,0.0163,0.0138,0.0000,0.0060,0.0203,0.0108,0.0273,0.0057,0.0032,0.1108,0.0087,0.0130,0.0000,0.0000,0.0000,0.0000,0.0000,0.0215,0.0189,
2024-07-29,0.0172,0.0145,0.0000,0.0063,0.0207,0.0114,0.0279,0.0060,0.0033,0.1131,0.0091,0.0137,0.0000,0.0000,0.0000,0.0000,0.0000,0.0223,0.0196,
2024-07-28,0.0181,0.0153,0.0000,0.0066,0.0211,0.0120,0.0284,0.0063,0.0035,0.1154,0.0096,0.0145,0.0000,0.0000,0.0000,0.0000,0.0000,0.0232,0.0203,
2024-07-27,0.0191,0.0162,0.0000,0.0070,0.0215,0.0127,0.0290,0.0067,0.0037,0.1177,0.0102,0.0152,0.0000,0.0000,0.0000,0.0000,0.0000,0.0241,0.0211,
2024-07-26,0.0201,0.0170,0.0000,0.0074,0.0220,0.0134,0.0296,0.0071,0.0039,0.1201,0.0107,0.0161,0.0000,0.0000,0.0000,0.0000,0.0000,0.0250,0.0219,
2024-07-25,0.0212,0.0180,0.0000,0.0078,0.0224,0.0141,0.0302,0.0074,0.0041,0.1226,0.0113,0.0170,0.0000,0.0000,0.0000,0.0000,0.0000,0.0259,0.0228,
2024-07-24,0.0224,0.0190,0.0000,0.0082,0.0229,0.0149,0.0308,0.0078,0.0044,0.1251,0.0119,0.0179,0.0000,0.0000,0.0000,0.0000,0.0000,0.0269,0.0236,
2024-07-23,0.0236,0.0200,0.0000,0.0087,0.0233,0.0157,0.0315,0.0083,0.0046,0.1276,0.0126,0.0189,0.0000,0.0000,0.0000,0.0000,0.0000,0.0280,0.0246,
2024-07-22,0.0249,0.0211,0.0000,0.0091,0.0238,0.0166,0.0321,0.0087,0.0049,0.1302,0.0133,0.0199,0.0000,0.0000,0.0000,0.0000,0.0000,0.0290,0.0255,
2024-07-21,0.0263,0.0223,0.0000,0.0096,0.0243,0.0175,0.0328,0.0092,0.0051,0.1329,0.0140,0.0210,0.0000,0.0000,0.0000,0.0000,0.0000,0.0302,0.0265,
2024-07-20,0.0277,0.0235,0.0000,0.0102,0.0248,0.0184,0.0334,0.0097,0.0054,0.1356,0.0148,0.0221,0.0000,0.0000,0.0000,0.0000,0.0000,0.0313,0.0275,
2024-07-19,0.0293,0.0248,0.0000,0.0107,0.0253,0.0195,0.0341,0.0102,0.0057,0.1383,0.0156,0.0234,0.0000,0.0000,0.0000,0.0000,0.0000,0.0325,0.0286,
2024-07-18,0.0309,0.0261,0.0000,0.0113,0.0258,0.0205,0.0348,0.0108,0.0060,0.1412,0.0164,0.0246,0.0000,0.0000,0.0000,0.0000,0.0000,0.0338,0.0297,
2024-07-17,0.0325,0.0275,0.0000,0.0119,0.0263,0.0217,0.0355,0.0114,0.0063,0.1440,0.0173,0.0260,0.0000,0.0000,0.0000,0.0000,0.0000,0.0351,0.0308,
2024-07-16,0.0343,0.0291,0.0000,0.0126,0.0269,0.0228,0.0362,0.0120,0.0067,0.1470,0.0183,0.0274,0.0000,0.0000,0.0000,0.0000,0.0000,0.0364,0.0320,
2024-07-15,0.0362,0.0306,0.0000,0.0133,0.0274,0.0241,0.0370,0.0127,0.0071,0.1500,0.0193,0.0289,0.0000,0.0000,0.0000,0.0000,0.0000,0.0378,0.0332,
2024-07-14,0.0382,0.0323,0.0000,0.0140,0.0280,0.0254,0.0377,0.0134,0.0074,0.1530,0.0203,0.0305,0.0000,0.0000,0.0000,0.0000,0.0000,0.0393,0.0345,
2024-07-13,0.0403,0.0341,0.0000,0.0148,0.0286,0.0268,0.0385,0.0141,0.0078,0.1561,0.0214,0.0322,0.0000,0.0000,0.0000,0.0000,0.0000,0.0408,0.0358,
2024-07-12,0.0425,0.0360,0.0000,0.0156,0.0291,0.0283,0.0393,0.0149,0.0083,0.1593,0.0226,0.0339,0.0000,0.0000,0.0000,0.0000,0.0000,0.0423,0.0372,
2024-07-11,0.0448,0.0379,0.0000,0.0164,0.0297,0.0298,0.0401,0.0157,0.0087,0.1625,0.0239,0.0358,0.0000,0.0000,0.0000,0.0000,0.0000,0.0440,0.0386,
2024-07-10,0.0473,0.0400,0.0000,0.0173,0.0303,0.0314,0.0409,0.0166,0.0092,0.1659,0.0252,0.0377,0.0000,0.0000,0.0000,0.0000,0.0000,0.0457,0.0401,
2024-07-09,0.0499,0.0422,0.0000,0.0183,0.0309,0.0332,0.0417,0.0175,0.0097,0.1692,0.0265,0.0398,0.0000,0.0000,0.0000,0.0000,0.0000,0.0474,0.0416,
2024-07-08,0.0526,0.0445,0.0000,0.0193,0.0316,0.0350,0.0426,0.0184,0.0102,0.1727,0.0280,0.0420,0.0000,0.0000,0.0000,0.0000,0.0000,0.0492,0.0432,
2024-07-07,0.0555,0.0469,0.0000,0.0203,0.0322,0.0369,0.0434,0.0194,0.0108,0.1762,0.0295,0.0443,0.0000,0.0000,0.0000,0.0000,0.0000,0.0511,0.0449,
2024-07-06,0.0585,0.0495,0.0000,0.0214,0.0329,0.0389,0.0443,0.0205,0.0114,0.1798,0.0311,0.0467,0.0000,0.0000,0.0000,0.0000,0.0000,0.0531,0.0466,
2024-07-05,0.0617,0.0522,0.0000,0.0226,0.0335,0.0411,0.0452,0.0216,0.0120,0.1834,0.0328,0.0493,0.0000,0.0000,0.0000,0.0000,0.0000,0.0551,0.0484,
2024-07-04,0.0651,0.0551,0.0000,0.0239,0.0342,0.0433,0.0461,0.0228,0.0127,0.1872,0.0346,0.0520,0.0000,0.0000,0.0000,0.0000,0.0000,0.0572,0.0503,
2024-07-03,0.0687,0.0581,0.0000,0.0252,0.0349,0.0457,0.0471,0.0241,0.0134,0.1910,0.0365,0.0548,0.0000,0.0000,0.0000,0.0000,0.0000,0.0594,0.0522,
2024-07-02,0.0724,0.0613,0.0000,0.0265,0.0356,0.0482,0.0480,0.0254,0.0141,0.1949,0.0385,0.0578,0.0000,0.0000,0.0000,0.0000,0.0000,0.0617,0.0542,
2024-07-01,0.0764,0.0646,0.0000,0.0280,0.0364,0.0508,0.0490,0.0268,0.0149,0.1988,0.0407,0.0610,0.0000,0.0000,0.0000,0.0000,0.0000,0.0641,0.0563,
2024-06-30,0.0806,0.0682,0.0000,0.0295,0.0371,0.0536,0.0500,0.0282,0.0157,0.2029,0.0429,0.0643,0.0000,0.0000,0.0000,0.0000,0.0000,0.0666,0.0585,
2024-06-29,0.0850,0.0719,0.0000,0.0312,0.0379,0.0565,0.0510,0.0298,0.0166,0.2070,0.0452,0.0678,0.0000,0.0000,0.0000,0.0000,0.0000,0.0691,0.0607,
2024-06-28,0.0896,0.0759,0.0000,0.0329,0.0386,0.0596,0.0521,0.0314,0.0175,0.2112,0.0477,0.0715,0.0000,0.0000,0.0000,0.0000,0.0000,0.0718,0.0630,
2024-06-27,0.0945,0.0800,0.0000,0.0347,0.0394,0.0629,0.0531,0.0331,0.0184,0.2155,0.0503,0.0755,0.0000,0.0000,0.0000,0.0000,0.0000,0.0745,0.0655,
2024-06-26,0.0997,0.0844,0.0000,0.0366,0.0402,0.0663,0.0542,0.0349,0.0194,0.2199,0.0531,0.0796,0.0000,0.0000,0.0000,0.0000,0.0000,0.0774,0.0680,
2024-06-25,0.1052,0.0890,0.0000,0.0386,0.0410,0.0700,0.0553,0.0368,0.0205,0.2244,0.0560,0.0840,0.0000,0.0000,0.0000,0.0000,0.0000,0.0804,0.0706,
2024-06-24,0.1109,0.0939,0.0000,0.0407,0.0419,0.0738,0.0564,0.0389,0.0216,0.2290,0.0590,0.0886,0.0000,0.0000,0.0000,0.0000,0.0000,0.0835,0.0733,
2024-06-23,0.1170,0.0990,0.0000,0.0429,0.0427,0.0778,0.0576,0.0410,0.0228,0.2336,0.0623,0.0934,0.0000,0.0000,0.0000,0.0000,0.0000,0.0867,0.0761,
2024-06-22,0.1234,0.1045,0.0000,0.0452,0.0436,0.0821,0.0588,0.0432,0.0240,0.2384,0.0657,0.0985,0.0000,0.0000,0.0000,0.0000,0.0000,0.0900,0.0790,
2024-06-21,0.1302,0.1102,0.0000,0.0477,0.0445,0.0866,0.0600,0.0456,0.0254,0.2432,0.0693,0.1039,0.0000,0.0000,0.0000,0.0000,0.0000,0.0935,0.0821,
2024-06-20,0.1373,0.1162,0.0000,0.0503,0.0454,0.0913,0.0612,0.0481,0.0267,0.2482,0.0731,0.1096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0970,0.0852,
2024-06-19,0.1448,0.1226,0.0000,0.0531,0.0463,0.0963,0.0624,0.0507,0.0282,0.2532,0.0771,0.1156,0.0000,0.0000,0.0000,0.0000,0.0000,0.1008,0.0885,
2024-06-18,0.1528,0.1293,0.0000,0.0560,0.0473,0.1016,0.0637,0.0535,0.0298,0.2584,0.0813,0.1219,0.0000,0.0000,0.0000,0.0000,0.0000,0.1046,0.0919,
2024-06-17,0.1611,0.1364,0.0000,0.0591,0.0482,0.1072,0.0650,0.0564,0.0314,0.2636,0.0858,0.1286,0.0000,0.0000,0.0000,0.0000,0.0000,0.1087,0.0954,
2024-06-16,0.1699,0.1438,0.0000,0.0623,0.0492,0.1131,0.0663,0.0595,0.0331,0.2690,0.0904,0.1357,0.0000,0.0000,0.0000,0.0000,0.0000,0.1128,0.0991,
2024-06-15,0.1793,0.1517,0.0000,0.0657,0.0502,0.1192,0.0677,0.0628,0.0349,0.2745,0.0954,0.1431,0.0000,0.0000,0.0000,0.0000,0.0000,0.1172,0.1029,
2024-06-14,0.1891,0.1600,0.0000,0.0693,0.0512,0.1258,0.0690,0.0662,0.0368,0.2801,0.1006,0.1509,0.0000,0.0000,0.0000,0.0000,0.0000,0.1217,0.1069,
2024-06-13,0.1994,0.1688,0.0000,0.0731,0.0523,0.1327,0.0704,0.0699,0.0389,0.2858,0.1061,0.1592,0.0000,0.0000,0.0000,0.0000,0.0000,0.1264,0.1110,
2024-06-12,0.2103,0.1780,0.0000,0.0771,0.0533,0.1399,0.0719,0.0737,0.0410,0.2916,0.1120,0.1679,0.0000,0.0000,0.0000,0.0000,0.0000,0.1312,0.1152,
2024-06-11,0.2219,0.1878,0.0000,0.0813,0.0544,0.1476,0.0733,0.0777,0.0432,0.2975,0.1181,0.1771,0.0000,0.0000,0.0000,0.0000,0.0000,0.1363,0.1196,
2024-06-10,0.2340,0.1981,0.0000,0.0858,0.0555,0.1557,0.0748,0.0820,0.0456,0.3036,0.1246,0.1868,0.0000,0.0000,0.0000,0.0000,0.0000,0.1415,0.1242,
2024-06-09,0.2468,0.2089,0.0000,0.0905,0.0566,0.1642,0.0764,0.0865,0.0481,0.3098,0.1314,0.1970,0.0000,0.0000,0.0000,0.0000,0.0000,0.1469,0.1290,
2024-06-08,0.2604,0.2204,0.0000,0.0954,0.0578,0.1732,0.0779,0.0912,0.0507,0.3161,0.1386,0.2078,0.0000,0.0000,0.0000,0.0000,0.0000,0.1526,0.1340,
2024-06-07,0.2746,0.2324,0.0000,0.1007,0.0590,0.1827,0.0795,0.0962,0.0535,0.3225,0.1462,0.2192,0.0000,0.0000,0.0000,0.0000,0.0000,0.1584,0.1391,
2024-06-06,0.2897,0.2452,0.0000,0.1062,0.0602,0.1927,0.0811,0.1015,0.0564,0.3291,0.1542,0.2312,0.0000,0.0000,0.0000,0.0000,0.0000,0.1645,0.1445,
2024-06-05,0.3055,0.2586,0.0000,0.1120,0.0614,0.2032,0.0828,0.1070,0.0595,0.3358,0.1626,0.2439,0.0000,0.0000,0.0000,0.0000,0.0000,0.1708,0.1500,
2024-06-04,0.3222,0.2727,0.0000,0.1181,0.0627,0.2144,0.0845,0.1129,0.0628,0.3426,0.1715,0.2572,0.0000,0.0000,0.0000,0.0000,0.0000,0.1774,0.1558,
2024-06-03,0.3399,0.2877,0.0000,0.1246,0.0639,0.2261,0.0862,0.1191,0.0662,0.3496,0.1809,0.2713,0.0000,0.0000,0.0000,0.0000,0.0000,0.1842,0.1618,
2024-06-02,0.3585,0.3034,0.0000,0.1314,0.0652,0.2385,0.0879,0.1256,0.0698,0.3567,0.1908,0.2862,0.0000,0.0000,0.0000,0.0000,0.0000,0.1913,0.1680,
2024-06-01,0.3781,0.3200,0.0000,0.1386,0.0666,0.2516,0.0897,0.1325,0.0737,0.3640,0.2013,0.3018,0.0000,0.0000,0.0000,0.0000,0.0000,0.1986,0.1744,
2024-05-31,0.3989,0.3376,0.0000,0.1462,0.0679,0.2653,0.0915,0.1397,0.0777,0.3714,0.2123,0.3184,0.0000,0.0000,0.0000,0.0000,0.0000,0.2063,0.1811,
2024-05-30,0.4207,0.3561,0.0000,0.1542,0.0693,0.2799,0.0934,0.1474,0.0820,0.3789,0.2239,0.3358,0.0000,0.0000,0.0000,0.0000,0.0000,0.2142,0.1881,
2024-05-29,0.4437,0.3756,0.0000,0.1627,0.0707,0.2952,0.0953,0.1554,0.0864,0.3866,0.2362,0.3542,0.0000,0.0000,0.0000,0.0000,0.0000,0.2224,0.1953,
2024-05-28,0.4133,0.3414,0.0000,0.1716,0.0721,0.3114,0.0972,0.1640,0.0912,0.3945,0.2491,0.3736,0.0000,0.0000,0.0000,0.0000,0.0000,0.2310,0.2028,
2024-05-27,0.3811,0.3053,0.0000,0.1810,0.0736,0.3284,0.0992,0.1729,0.0962,0.4025,0.2627,0.3941,0.0000,0.0000,0.0000,0.0000,0.0000,0.2399,0.2106,
2024-05-26,0.3472,0.2672,0.0000,0.1909,0.0751,0.3464,0.1012,0.1824,0.1014,0.4107,0.2224,0.4156,0.0000,0.0000,0.0000,0.0000,0.0000,0.2491,0.2187,
2024-05-25,0.3115,0.2271,0.0000,0.2013,0.0766,0.3654,0.1033,0.1924,0.1070,0.3987,0.2345,0.4384,0.0000,0.0000,0.0000,0.0000,0.0000,0.2586,0.2271,
2024-05-24,0.2738,0.1848,0.0000,0.2124,0.0782,0.3854,0.1054,0.2029,0.1129,0.3865,0.2474,0.4624,0.0000,0.0000,0.0000,0.0000,0.0000,0.2686,0.2358,
2024-05-23,0.2340,0.1401,0.0000,0.2240,0.0798,0.4065,0.1076,0.2141,0.1190,0.3740,0.2609,0.4877,0.0000,0.0000,0.0000,0.0000,0.0000,0.2789,0.2449,
2024-05-22,0.1921,0.1478,0.0000,0.2363,0.0814,0.4288,0.1097,0.2258,0.1256,0.3613,0.2752,0.5145,0.0000,0.0000,0.0000,0.0000,0.0000,0.2896,0.2543,
2024-05-21,0.1478,0.1011,0.0000,0.2492,0.0831,0.3975,0.1120,0.2381,0.1324,0.3483,0.2903,0.5035,0.0000,0.0000,0.0000,0.0000,0.0000,0.3007,0.2641,
2024-05-20,0.1011,0.0519,0.0000,0.2629,0.0848,0.4192,0.1143,0.2512,0.1397,0.3350,0.3062,0.4920,0.0000,0.0000,0.0000,0.0000,0.0000,0.3123,0.2742,
2024-05-19,0.0519,0.0000,0.0000,0.2773,0.0865,0.4422,0.1166,0.2649,0.1473,0.3215,0.2682,0.4798,0.0000,0.0000,0.0000,0.0000,0.0000,0.3243,0.2848,
2024-05-18,0.0000,0.0000,0.0000,0.2924,0.0883,0.4664,0.1190,0.2795,0.1554,0.3077,0.2829,0.4670,0.0000,0.0000,0.0000,0.0000,0.0000,0.3368,0.2957,
2024-05-17,0.0000,0.0000,0.0000,0.3085,0.0901,0.4920,0.1214,0.2948,0.1639,0.2936,0.2436,0.4378,0.0000,0.0000,0.0000,0.0000,0.0000,0.3497,0.3071,
