word,answer
pewter,"פיוטר<hr>Iron, steel, tin, pewter, copper, bronze, zinc, and brass—the eight basic Allomantic metals. </hr>“I burn pewter,” Ham said. </hr>Taking a deep breath, Kelsier burned pewter, using it to enhance his physical strength much in the same way that tin enhanced his senses. </hr>“That’s pewter. </hr>She let her pewter, then her copper, lapse. "
Pewter,פיוטר<hr>Pewter gave her strength as she turned her eyes toward the buttresslike wall running between the tower and the main keep. 
pilfer,"פילפר<hr>While Yeden secures the city, we’ll pilfer the atium. "
pines,פינס<hr>“You said the wisps wouldn’t let you into the big pines?” 
plantation,"מטע<hr>Yet, he had to be stronger than he looked; few plantation skaa lived to such ages. "
plateau,"הרמה<hr>To that end, out beyond the vast encampment, closer to the plateau, the army was constructing the ramp. "
plume,"הפלומה<hr>To the south, she could see the long plume of dust rising from an approaching supply train. "
plummet,צניחה<hr>She immediately began to plummet toward the ground. 
poet,"משורר<hr>And even though he'd written that his hair was brown, she'd always imagined him as a dark blond, looking rather like a poet (why she always pictured poets with blond hair she did not know). "
poised,"נחוש<hr>Chapter 4 Richard stood transfixed, staring at Nicci poised in midair just above a heavy library table, a net of glowing green geometric lines tangled all around her. "
police,"משטרה<hr>And, where power and riches existed, so did corruption—especially since the Lord Ruler tended to police his nobility far less than he did the skaa. "
pond,"בריכה<hr>He’d been with several other boys, diving down to the bottom of a pond in a contest to retrieve pebbles. </hr>People respectfully made way for the Mord-Sith as she strode up to a spot near the pond. "
ponder,"הרהר<hr>The meeting had ended a short time earlier, Breeze, Ham, and Yeden leaving to ponder the things Kelsier had told them. "
ponderous,"מהורהר<hr>But, because of their size, they are ponderous. "
populace,"אוכלוסייה<hr>We can probably recruit our soldiers from among them, but we can’t count on the general populace.” "
portico,"פורטיקו<hr>The light of a single lantern flickered weakly through the slender windows to either side of the door, reflecting a pale, shimmering glow off the wet floor of the portico. "
portly,"פורטלי<hr>He was older than the soldier, and was a bit portly. "
postulated,"הנחה<hr>They postulated that there was a method to alter people’s memory with Subtractive power in a way that all the resulting disconnected parts of a person’s recollection would spontaneously reconstruct and connect themselves to one another, with the direct consequence being the creation of erroneous memory to fill the voids that had been created when the subject of the conjuring was wiped from people’s minds. "
pragmatism,פרגמטיזם<hr>She needed to approach this adventure with all the practicality and pragmatism with which she always tried to make her decisions. 
preach,"מטיף<hr>Men like you preach change, but I wonder. "
precarious,"מסוכן<hr>Vin’s position had been precarious, and associating with her could have tainted them by association. "
precipitous,תלול<hr>It was a grueling effort to lug the heavy load up the precipitous trail. 
precursor,"קודמן<hr>She needed not power, but its precursor. "
predates,קדם<hr>It predates the great war by seven centuries. 
predestined,גורלי מראש<hr>“The Imperial Order is not predestined to lose just because they are evil. 
predicament,"מצוקה<hr>Chase would have told her not to think of her present predicament, but to keep watching for the time when she could get herself out of it. "
preliminary,ראשוני<hr>I’m only giving you my preliminary impression.” 
premise,"הנחת יסוד<hr>“The premise is pretty simple, really,” Nicci said, offhandedly. "
primly,"ראשוני<hr>Vin sat primly, waiting. "
prodded,"מדרבן<hr>She prodded Liese further as the dance progressed, but he was obviously too inexperienced to know much. "
profane,גסות<hr>She felt ashamed to be among the profane rabble gathered at the feet of such a shining accomplishment of man so proudly rising up before them. 
profound,מעמיק<hr>Breeze’s words had a profound effect. 
prominent,"בולט<hr>Eloise still held a prominent place in society; the Bridgertons were universally adored and respected (and occasionally feared), and Eloise's sunny and irrepressible personality was such that everyone sought out her company, spinsterish age or no. "
prowess,תעוזה<hr>My gentlemanly prowess has reached new depths.” 
prowled,"משוטט<hr>She didn’t walk, she prowled. "
prudent,"זהיר<hr>Besides, I think it’s prudent to keep Renoux’s activities a bit removed from the Lord Ruler.” "
puffs,"חטיפי<hr>The puffs of soot fell like black snowflakes, descending upon the dark city of Luthadel. "
punctuality,דייקנות<hr>“I’m the soul of punctuality.” 
purpose,תכלית<hr>She couldn’t take such suffering again—not when it was to no purpose. 
purview,תחומי עיסוק<hr>For me to be this blind to events that eddy so tightly through my purview can only mean that another witch woman has deliberately occulted those flows from me.” </hr>“But I have had to weigh and consider matters outside your purview and on everything put together I have made my decision. 
quarry,"מחצבה<hr>Vin flew through the mists, eyes straining to keep track of her quarry. "
quelled,"מדוכא<hr>Since she had little interaction with the men—most didn’t even see her—she didn’t know if the executions quelled the rumors but, somehow, she doubted it. "
rabble,אספסוף<hr>She felt ashamed to be among the profane rabble gathered at the feet of such a shining accomplishment of man so proudly rising up before them. 
Rachel,"רייצ'ל<hr>Chapter 26 Rachel yawned. </hr>Violet had said that it was going to take a long time for Rachel to earn forgiveness for such a serious transgression, and also for showing disrespect by escaping the castle. "
rambling,השתוללות<hr>“I’d have never known if I hadn’t started rambling. 
rampart,סוללה<hr>Nicci looked back over her shoulder to see the old wizard marching across the vast rampart. 
rapture,התלהבות<hr>It was rapture. 
rasp,רספ<hr>She could hear it rasp against his stubble. 
recant,"חזרה בתשובה<hr>“Once, the queen sent an emissary to ask if I would recant my vision. "
refinement,"עידון<hr>“Even among thieves, Camon isn’t exactly known for his refinement. </hr>“She’ll need some refinement, however—and not just in appearance.” "
refineries,בתי זיקוק<hr>Luthadel’s main export was metal; the city was home to hundreds of forges and refineries. 
rejuvenation,"התחדשות<hr>Along with the warmth came something else—a feeling of rejuvenation, and of power. "
relent,רלנט<hr>He knows that his father will relent if he acts spoiled enough for long enough.” 
relic,"שריד<hr>In fact, it had been presented in lectures as just that, an oddity, a relic of ancient times, useless, but nonetheless an object of note simply because it had survived. "
Reluctantly,"בחוסר רצון<hr>Reluctantly, Phillip turned away from the sun and opened his eyes. "
remnant,"השריד<hr>She struggled to breathe while she still could, while she still had a remnant of control. "
remnants,"שאריות<hr>The last remnants of the night’s mist had burned away, and the red sun was rising behind the sky’s usual haze of blackish clouds. "
reneging,"חזרה בתשובה<hr>However, if he did try to take control, it would smell of betrayal—a reneging on the promises that he had made to Yeden. "
renowned,הנודע<hr>“Our train also brings some of the Ja’La dh Jin teams that wish to join the tournaments in the hopes of having the chance to one day play His Excellency’s renowned team.” 
reprehensible,מגונה<hr>“It’s a ritual killing reserved for the most reprehensible of sinners: people who misuse Allomancy.” 
residue,שאריות<hr>Zedd had also detected on the sliph the trace residue power left by a witch woman. 
respite,"הפוגה<hr>“Is your respite pleasant, dear?” "
