word,answer
survived,"שרד<hr>CHAPTER ONE I have survived Day Three Post-Christian, and my first day at work. "
swindle,"נוכלות<hr>“Camon tried to swindle Marsh a few months ago, and he brought the girl with him then, too. "
sympathetic,סימפטי<hr>“A nobleman sympathetic to the skaa? 
tailored,"המותאמים<hr>It seemed to have been tailored to be loose and relaxed, defying the traditional sharp, well-cut fashion. "
tally,"טלי<hr>“Excellency, there were numbers beyond counting, and I stopped counting at several thousand without having made much headway in a full tally. "
tantrums,"התפרצויות זעם<hr>Not like you, a pompous little twit who thinks herself important because of the extravagance of her tantrums, but a real queen. "
tapered,"מחודד<hr>As it came closer, Richard saw that it looked more like numerous arms—tapered, long, undulating objects—fanning open from a central element that for some reason he could not quite figure out. "
tapping,"הקשה<hr>He reached inside with his mind and touched the tin, tapping powers he still barely understood. "
tardiness,"איחורים<hr>“I suppose his tardiness leaves us with a chance for some refreshment. </hr>“Are we to receive any explanation for your tardiness?” </hr>“. . . don’t regret my tardiness,” a familiar voice said from inside. "
teetered,"מתנודד<hr>It teetered, then fell out the window and began to plummet directly toward Kelsier. "
telltale,"מסגיר<hr>Zedd stared off as he puzzled at the question, the way one would listen for any sound, but Nicci knew that he wasn’t exactly listening for a telltale sound. "
temerity,"תעוזה<hr>Even now, more than a month after it had happened, he couldn't quite believe that the sun had had the temerity to tease him so. "
tenacious,"עקשן<hr>He was nothing if not tenacious. </hr>No, she reflected with a rather impressive (in her opinion, at least) display of self-honesty, there were two things about her that colored her every action— she liked to act quickly and she was tenacious. "
tenaciously,"בעקשנות<hr>Other than Kahlan, he didn’t know anyone who could focus on a goal as tenaciously as Nicci. "
tendrils,קנוקנות<hr>We know how to avoid the Steel Ministry’s tendrils. 
tenements,"שיכונים<hr>The tenements and shops were uniform in appearance; this was not a place to draw attention to oneself. </hr>My family doesn’t have to live in packed skaa tenements, nor do they have to worry about starving. "
tentative,לא סופי<hr>Vin accepted her cup with a tentative hand. 
tentatively,"בהיסוס<hr>She reached out tentatively—not even really sure what she was doing, or why she could even do it. "
textile,"טקסטיל<hr>Well, scamming noblemen and obligators was a very dangerous profession—but it certainly beat working in the forges or the textile mills. "
the,"ה<hr>“Once, the queen sent an emissary to ask if I would recant my vision. </hr>The Mistborn crewleader burst through the door with his cheery enthusiasm, Dockson sauntering along behind. "
The,ה<hr>The safe appeared over the lip of the floor above. 
theocracy,תאוקרטיה<hr>“Those Inquisitors won’t just let us throw their pretty theocracy into chaos.” 
There,"שם<hr>“There will be room,” Sister Armina said with soothing assurance, cutting off Sister Cecilia’s habit of always assuming the worst. "
thigh,"ירך<hr>His thigh was swollen and painful to the touch but, fortunately, not torn open. "
thighs,הירכיים<hr>Her thighs ached with the effort. 
this,זה<hr>“And how does this connect with the symbols at the First Wizard’s enclave?” 
thought,"מחשבה<hr>Even Phillip, who'd thought himself impervious to the vagaries of the weather, had felt his spirits lighten, his smile widen. "
threes,שלשות<hr>I think it would be best to shield it behind an invocation of threes.” 
throbbed,פועם<hr>Her back still throbbed; Camon had whipped her the day before. 
Thug,בריון<hr>“I’m a Thug.” 
thump,חבטה<hr>You won’t even— A muted thump sounded as someone dropped a stack of books onto her table. 
tidbits,"tidbits<hr>“But, sometimes, there are little tidbits of information floating around, things people saw or overheard, and the people who saw or overheard them start to gossip about those tasty tidbits. </hr>She would probably have to figure out what that meant on her own; experience told her that a powerful man like Kelsier would withhold knowledge from her as long as he could, stringing her along with occasional tidbits. "
timid,"ביישן<hr>She was paranoid, true, but not timid. "
Timid,ביישן<hr>“Timid?” 
tin,"בדיל<hr>Kelsier burned tin. </hr>Iron, steel, tin, pewter, copper, bronze, zinc, and brass—the eight basic Allomantic metals. </hr>He burned tin, and felt it flare to life in his chest, enhancing his senses. "
tiredness,"עייפות<hr>He wanted an explanation, needed one, for this awful tiredness that seemed to be taking over. "
tobacco,טבק<hr>Kelsier raised an eyebrow; tobacco was an expensive luxury. 
tome,"טומה<hr>Even as she watched, Elend pushed one tome aside—leaving it open to a specific page—and pulled over another. "
tongs,"מלקחת<hr>“Then,” he said, turning back, “the inquisitor pushes the jaws of a pair of tongs deep into the belly and gropes around until he is able to grab hold of a bit of the small intestine. "
transfixed,"טרנספיקס<hr>Chapter 4 Richard stood transfixed, staring at Nicci poised in midair just above a heavy library table, a net of glowing green geometric lines tangled all around her. </hr>Six stood transfixed, staring at it as if no one else were there with her. "
transgression,"פשע<hr>Violet had said that it was going to take a long time for Rachel to earn forgiveness for such a serious transgression, and also for showing disrespect by escaping the castle. "
transgressions,"עבירות<hr>In the long march of weeks, after being sent to the tents almost nightly as punishment for their transgressions against Jagang, they both looked to have aged years. "
translucent,"שקוף<hr>The translucent shape whipped past his face, just missing him. </hr>Kelsier seemed to fuzz slightly to her eyes; then a translucent, wraithlike image shot out into the mists in front of him. "
Translucent,"שקוף<hr>Translucent blue lines sprang into existence around him, visible only to his eyes. "
transportation,גירוש<hr>An unfortunate attribute in a man who deals in transportation.” 
trimming,"זמירה<hr>“I’ve still got a little bit of trimming to do, Master Kelsier,” the woman said. "
twirling,"מסתובב<hr>“So, how was the aforementioned twirling, anyway?” "
twixt,"טוויקסט<hr>“Why’d he pick you to be his twixt, anyway, Vin?” "
unassuming,"צנוע<hr>He turned out to be an unassuming man, and Vin had trouble understanding why the other two were so displeased about his attendance. "
Unbeknownst,"ללא ידיעתו<hr>“Unbeknownst to me as I did my best to forget the outside world, Ann and Nathan, driven by prophecy, had helped George Cypher recover The Book of Counted Shadows from the Wizard’s Keep. "
undignified,לא מכובד<hr>He struck me as a bit undignified for one of his station.” 
unduly,"שלא לצורך<hr>The Terrisman seemed, in Vin’s opinion, unduly worried about her exchange with the young nobleman. "
unopposed,ללא התנגדות<hr>Jagang will have the New World unopposed.” 
unsettling,"מטריד<hr>“Excellency, I am afraid that I must report some unsettling news. "
unspectacular,"לא מרהיב<hr>They hadn’t really talked about anything important, and Elend himself was decidedly unspectacular for a Great House lord. "
unwholesome,לא בריא<hr>The stench was like a toxic cloud that always followed along with them to serve to remind anyone they came upon just how unwholesome these men really were. 
upward,למעלה<hr>She turned her eyes upward. 
