word,answer
ominous,"מבשר רעות<hr>The Canton of Finance was hardly the most threatening of Ministry offices—the Canton of Inquisition, or even the Canton of Orthodoxy, had a far more ominous reputation. </hr>Suddenly, with tin, the mists around her didn’t seem so ominous. "
omnipotent,"כל יכול<hr>He’s a powerful Allomancer, but by no means omnipotent.” "
omnipresent,"נוכח בכל מקום<hr>He is the Sliver of Infinity—not omniscient or omnipresent, but an independent section of a consciousness that is.” "
omniscience,ידיעת הכול<hr>Vision through her gift alone had a singular quality that approached omniscience. 
omniscient,"יודע-כל<hr>He is the Sliver of Infinity—not omniscient or omnipresent, but an independent section of a consciousness that is.” "
on,הלאה<hr>Breeze’s attention was still on Yeden and his obvious discomfort. 
one,"אחד<hr>She cradled her cheek in one hand, waiting for the stupefying pain to loosen its grip, waiting for everything around her to come back into focus. "
onslaught,"המתקפה<hr>Even though he charged, wove, and feigned his way through the onslaught of men, he headed relentlessly for that opening, and his freedom. "
ooze,"נוטף<hr>She used a sliver of Subtractive Magic to void a razor-thin piece of flesh at the tip of her finger, and used the blood that began to ooze to begin drawing the diagrams needed before the box of Orden. "
opulence,"שפע<hr>This was a section of Fellise she had rarely seen; despite the town’s opulence, its slums were remarkably similar to the ones in every other city. "
orchards,מטעים<hr>The orchards all the way out into the hills were all cut down. 
orchestra,"תזמורת<hr>A string orchestra played on a platform to her left, providing music for the couples who danced in the very center of the hall. "
ordeal,"חוויה קשה<hr>When Richard went back inside everyone was crowded around Jebra, engaged in hushed conversation filled with sympathy for her ordeal. "
ornamental,"נוי<hr>Cara watched him as he peered around at the paneled walls, his gaze passing methodically over the ornamental oddities on the shelves: the lacquered boxes with inlaid silver designs, the small figures of dancers carved from bone, the smooth stones lying in velvet-lined boxes, and the decorative glass vases. </hr>On burglaries or scouting missions, she had occasionally seen ornamental plants, but she’d never given them much heed—they, like many noble interests, had seemed frivolous to her. "
ornamentation,"קישוט<hr>Still, Vin had rarely worn it, for fear that the ornamentation would make her look more feminine. "
ornate,"מקושט<hr>Richard knew that a number of the rooms were libraries, while others were elaborately decorated rooms seeming to serve no purpose other than to lead to other rooms, which led to other rooms, some simple and some ornate, all a part of the inscrutable and complex maze that was the Keep. </hr>Massive, ornate stone pillars were set into the walls, running between the windows. </hr>And the white one was too ornate. "
ostentatious,"ראוותני<hr>“They’re an ostentatious lot, even for high nobility. </hr>Time to be a bit ostentatious, he thought, dropping a coin to the wood. "
overcoat,"מעיל<hr>The newcomer wore a dull tan overcoat, a pair of brown trousers, and a simple white shirt. "
