word,answer
inkling,אינקלינג<hr>An inkling of something else began to well up in her. 
inquisitor,"אינקוויזיטור<hr>You see, we have this torture where the inquisitor makes a small incision in a lower abdomen of the person in question.” "
insubordinate,"סרבן<hr>“He’s too clever to be insubordinate,” Ham said, “but he’s been making trouble quietly. "
insufferably,"בלתי נסבל<hr>They’re an insufferably efficient lot, I must say.” "
insurrectionists,"מתקוממים<hr>Too many places have been attacked for it to be the doings of insurrectionists.” </hr>“It’s those insurrectionists, mostly from Altur’Rang. "
interconnected,"מחוברים<hr>It was all intricately interconnected—how the power of Orden worked, and how that power functioned through its connection to the world of life. "
Interspersed,משולב<hr>Interspersed throughout the city were a dozen or so monolithic keeps. 
intoxicating,"המשכר<hr>To a Keeper, that’s probably as intoxicating as streetspice. "
intricate,"מורכב<hr>The obligator turned, raising an eyebrow—the motion done as if to highlight his most distinctive feature, the intricate tattoos that laced the skin around his eyes. </hr>It was an intricate job—one of the most complex Vin had ever seen. "
intricately,"בצורה מורכבת<hr>It was all intricately interconnected—how the power of Orden worked, and how that power functioned through its connection to the world of life. "
intrigued,"מסוקרן<hr>She had been intrigued by Sir Phillip's reply, especially his use of the Latin, and she had immediately penned her own response. "
invigorated,"נמרץ<hr>The men are leaving invigorated, and a number of them are staying behind. "
invincible,"בלתי מנוצח<hr>The attacks in their homeland were unsettling the men, who had always considered the Old World not just invulnerable to such attack, but invincible as well. "
invited,"הזמין<hr>Whatever job they were planning, she was invited to participate. "
invocation,להפעלה<hr>I think it would be best to shield it behind an invocation of threes.” 
inwardly,"כלפי פנים<hr>She could maintain a stony face, and rejoice inwardly. "
jaded,"עייף<hr>Funny, how easily one can become jaded, Vin thought. "
jest,"בצחוק<hr>“You jest, but Tepper might have been right. "
juvenile,"ילדותי<hr>Camon had been skilled at impersonating noblemen, but his self-importance had always struck Vin as a bit juvenile. "
keeps,"שומר<hr>Rather than containing imposing, buttressed keeps, it was filled with lavish manors and villas. "
laborer,"פועל<hr>He looked as if he worked outside like a laborer, especially in those rough trousers and shirt with no cravat. "
labyrinth,"המבוך<hr>As they ran through the labyrinth of halls, rooms, and passageways, Richard heard the distant toll of the bell, calling people to the devotion to the Lord Rahl. "
lair,"המאורה<hr>Vin sat in the corner of the safe house’s main lair. </hr>Get away from Camon, and the lair, in case something happens. "
lance,לאנס<hr>“Use it like a lance. 
