word,answer
clogged,"סתום</hr>Times when the sky hadn’t been clogged by smoke and ash, when plants hadn’t struggled to grow, and when skaa hadn’t been slaves. "
club,מועדון</hr>“You think that if I can club it with the candelabra that will stop it?” 
clutches,"מצמדים</hr>Rachel was completely dispirited by once again being in the clutches of such a wicked person, and sad beyond anything she had ever known because Chase was gone. "
cobbled,"מרוצף</hr>The cobbled street felt muffled to Vin, the shifting mists making everything just a bit damp. "
coherent,"קוהרנטית</hr>While she was conscious and during the periods when she’s been coherent, her ability to grasp the entirety of her vision, the events in it seemed to have been fragmented and incomplete.” "
coiled,"מפותל</hr>One of the beast’s arms coiled around Richard’s arm, another lashed around Cara’s. "
commotion,"מהומה</hr>His other purpose, however, was to cause a commotion. "
compassionate,רחום</hr>“And was his interest compassionate or intellectual?” 
competent,"המוסמכת</hr>The boy was at least competent—he blocked the blows, but he revealed a great deal about his abilities as he did so. "
complacent,שאננים</hr>I want to wait until they’ve been at it for quite a while longer—to make them feel complacent. 
complemented,השלמה</hr>It was complemented by a single ruby bracelet for accentuation. 
compound,"תרכובת</hr>As they arrived at the emperor’s tents she was at first a little puzzled that the compound specifically, and the camp in general, was so far from their distant objective. "
compromised,"בסכנה</hr>“It was inevitable, of course, that the other wizards at the Keep would soon enough realize that the Temple of the Winds project had been compromised. "
concocted,נרקח</hr>I knew your plan the instant you concocted it.” 
congregated,"התכנסו</hr>Yet, Reen had shown her that the opposite was true: Powerful, rich nobility congregated around the Lord Ruler. "
consequential,תוצאתי</hr>She appeared to always have more consequential matters on her mind than cushions for sitting. 
conservatory,"בקונסרבטוריון</hr>The hazekillers attacked, dashing by twos into the conservatory. "
consternation,תדהמה</hr>Lord Liese’s face took on a look of consternation. 
cooed,"Cooed</hr>“Very good, Samuel,” she cooed. "
copper,"נחושת</hr>Some of the younger and more attractive women had a copper ring put through their lower lips and were reserved for the men of rank. </hr>Iron, steel, tin, pewter, copper, bronze, zinc, and brass—the eight basic Allomantic metals. </hr>“I started burning copper,” Kelsier said, “the companion to bronze. "
Copper,נחושת</hr>Copper or no copper.” 
corrosion,"קורוזיה</hr>Once it’s isolated like this, I recognize the corrosion left by the chimes, the same as I recognize the reddish brown scale of rust. "
corset,מחוך</hr>Vin took a deep breath—chest a little confined by the special corset she was wearing to hide her bandages—then accepted the footman’s hand and climbed down. 
cowered,מעורפל</hr>Vin cowered further. 
cram,לדחוס</hr>She had picked it for its large lettering—was paper really so expensive that scribes needed to cram as many lines to a page as possible? 
cramped,"צפוף</hr>Perhaps another might have found the room cramped and spartan, but to Vin it seemed lavish. "
creased,"מקומט</hr>Zedd paced, his face creased in thought. "
creases,"קמטים</hr>The concern in his eyes overspread his face, deepening the creases. "
Creases,"קמטים</hr>Creases had come to their faces, giving them both a heavy, drained, downcast look. "
crenellated,"מקומט</hr>As she came to a stop, Nicci rested a hand on the crenellated wall and took a deep breath of the humid air. "
crept,"התגנב</hr>After just a few moments of flight, she crept to a halt—and was left hanging in the air above a nearly invisible blue line. "
crescent,"הסהר</hr>All of them had crescent axes hooked at their belts, along with the swords and long knives they also carried. "
crisp,"פריך</hr>The room around him became crisp, the dull firepit flaring to near blinding brightness. "
cronies,"מקורבים</hr>Rough laughter came from the front of the chamber, where Camon sat with a half-dozen cronies enjoying a typical afternoon of ale and crass jokes. "
crook,"קרוק</hr>Nicci closed the cover on The Book of Life and picked it up, holding it in the crook of her arm. "
crude,"גולמי</hr>A group of men sitting at a crude table, however, continued to regard Kelsier with dissatisfied expressions. "
crumbs,פירורי</hr>“You’re not like most crumbs. 
crying,"בכי</hr>“Well, for crying out loud, Zedd, aren’t you the one who put her there?” "
cryptic,"קריפטי</hr>He always added a cryptic message about how when she had her memory back, she would then truly understand just what a monster such a male child would be to her. "
culmination,שיאו</hr>You don’t know if it’s all just the culmination of all the unfamiliar perceptions or something more.” 
cusp,קספ</hr>Nicci watched it all happening from a distant place on the cusp between worlds. 
dally,דלי</hr>Rumors say that you like to dally with your skaa women.” 
dampen,"הרטבה</hr>You can dampen my emotions, but can you enflame them too?” "
dangled,"משתלשל</hr>Her feet weren’t level, as if standing, but dangled as if she were in mid-jump. "
dash,"מקף</hr>Vin dimmed her tin, then followed in a crouching dash, her heart pounding. "
debut,"הופעת בכורה</hr>— from Eloise Bridgerton to her brother Colin, upon the occasion of Eloise's debut into London society     Then she opened her mouth. "
decapitation,"עריפה</hr>Men have tried everything—he ignores normal wounds, and decapitation only annoys him. "
decidedly,"בהחלט</hr>They hadn’t really talked about anything important, and Elend himself was decidedly unspectacular for a Great House lord. "
deficiencies,"ליקויים</hr>“Often, aristocrats don’t hide their deficiencies,” he had explained. "
dejection,דכדוך</hr>The skaa she passed had similar airs of dejection. 
delineation,"תיחום</hr>If its delineation was biological in origin, as he knew it was, then, according to Zedd, there should be some kind of source pattern expressed within that depiction. "
delude,"להשלות</hr>Perhaps he was just trying to delude himself, protect himself, even. "
demurely,"דמורלי</hr>“My lord,” Vin said, glancing down demurely. "
depictions,"תיאורים</hr>Vin looked up at it, along with the brilliantly colored depictions of the Lord Ruler, and found herself a little bit transfixed by the backlit scenes. "
deplorable,"מצער</hr>“My behavior is, nonetheless, deplorable. "
derogatory,מואץ</hr>“It’s a derogatory name. 
descent,"ממוצא</hr>His descent immediately stopped, and he was thrown back up into the air in the opposite direction along the blue line. </hr>Her descent slowed until she was drifting quietly through the air. "
described,"המתואר</hr>But his hair was exactly as he'd described it—brown, a rather dark shade, actually, bordering on black, with an unruly wave to it. "
desperate,מיואש</hr>You need to seem desperate. 
despondent,"דכדוך</hr>She felt despondent for him, for what he would one day have to face. "
dethroned,"הודח</hr>“Though, if you think about it, hostile, dethroned pseudodeities probably make disagreeable neighbors. "
devious,"ערמומי</hr>“Nathan, you are a very devious man.” </hr>“Oh, now that’s devious. "
devoured,נטרף</hr>“Once all evidence of my thievery has been properly devoured. 
diligent,חרוץ</hr>“These are actually quite diligent compared to those inside Luthadel. 
diminished,"הצטמצם</hr>Just a few more Sisters of the Dark, and I already had plenty of those—although their numbers are seriously diminished by now.” "
disarming,"פירוק נשק</hr>The obligator smiled; he likely meant it to be disarming, but Tresting only found it eerie. "
discards,"מוחק</hr>To them, breads and fruits were rare delicacies—usually eaten only as aging discards brought down by the house servants. "
disdain,בוז</hr>Camon’s huff of disdain indicated what he thought of that prohibition. 
disfigurements,עיוותים</hr>The Lord Ruler barely suffered them; only skaa with severe disfigurements were allowed to beg. 
dismantling,"פירוק</hr>She could sense in detail the process of it dismantling, like a flower closing its petals. "
dispel,"להפיג</hr>It had been a sunny day, and— He squeezed his eyes shut, not certain whether the motion was meant to urge the memory or dispel it. "
disperse,"לפזר</hr>“Instead, I have come to disperse our army. "
disquieting,מטריד</hr>It was also somewhat disquieting to again see the very thing that had almost taken her life. 
distraction,הסחת דעת</hr>It has been a welcome distraction. 
divinity,"אלוהים</hr>For a nation ruled by a self-proclaimed divinity, the empire has experienced a frightening number of colossal leadership errors. "
dote,דוטה</hr>“A lord must be allowed time to dote upon his favored niece. 
downing,"דאונינג</hr>Kelsier rolled his eyes, but did as requested, shaking the vial, then downing half of its contents. "
downy,דאוני</hr>Vin watched the downy flakes drift through the air. 
drafty,"טיוטה</hr>""All ancestral homes are drafty."" "
drawbridge,גשר משיכה</hr>There is also a drawbridge that they have raised. 
drawstring,שרוך</hr>Samuel had a leather bag held closed with a drawstring. 
droplets,טיפות</hr>Clouds of steam billowed up as they all worked to contain any errant droplets of the tenacious fire. 
drudgery,עבודת פרך</hr>Most skaa lived lives of drudgery on the plantations; even those who lived in a city were generally forced to do menial labor. 
ducked,"ברווז</hr>Vin shot him a glare he couldn’t see, but ducked her head back inside, waiting with impatient nervousness as the carriage pulled up to the massive keep. "
dull,"עמום</hr>The newcomer wore a dull tan overcoat, a pair of brown trousers, and a simple white shirt. "
dumbfounded,המום</hr>Richard was dumbfounded. 
dumped,"זרק</hr>Other men had simple, weighted tampers to pack the new dirt as it was dumped. "
dupe,"הונאה</hr>“We’re going to need someone to be our dupe with the nobility. </hr>“You’re letting them dupe you, Vin. "
duplex,"דופלקס</hr>“The point is,” he said, taking her arm and turning her back to the glowing lines and the subject at hand, “I remembered from reading that book many, many years ago that it talked about techniques to duplex spell-forms. "
dwindle,"הידלדלות</hr>“Our numbers dwindle,” Tam said. "
dyes,"צבעים</hr>My family works in trading dyes, specifically blushdip red, from the snails that are common there, and callowfield yellow, made from tree bark. "
eddy,אדי</hr>For me to be this blind to events that eddy so tightly through my purview can only mean that another witch woman has deliberately occulted those flows from me.” 
edict,צו</hr>The emblems engraved in this talisman are the symbolic representation of the way of the primary edict.” 
eerie,"מפחיד</hr>The obligator smiled; he likely meant it to be disarming, but Tresting only found it eerie. "
emblem,סמל</hr>The whole palace itself was constructed in the form of an emblem. 
emblematic,סמלי</hr>The form is emblematic.” 
emblems,"סמלים</hr>“I understand the jargon of emblems,” he said, absently, as he found the primary thread and traced it along a rise and fall and swirl of the pattern, all the time coming more in tune with its intent. "
embodied,"מגולם</hr>Prophecy only expressed the formality of what Nicci knew, that Richard embodied the values that promoted life. "
emissary,"שליח</hr>“Once, the queen sent an emissary to ask if I would recant my vision. "
encased,"עטוף</hr>More than anything, she wanted out of the terrible tangle of crushing power that encased her. "
enclave,מובלעת</hr>“And how does this connect with the symbols at the First Wizard’s enclave?” 
enflame,"להבה</hr>You can dampen my emotions, but can you enflame them too?” "
entice,"לפתות</hr>What would entice such a man—one who had, by skaa standards, an amazing life—to risk joining the underground? "
enticing,"מפתה</hr>Still, the smell was enticing. </hr>Indeed, she was hardly enticing; scrawny with a youthful face, she supposedly didn’t even look her sixteen years. "
enviable,"מעורר קנאה</hr>“You are in an enviable position, child,” Shan said. "
envisioned,בחזונו</hr>Nicci had come to believe that Richard might actually understand magic in a way not envisioned by anyone since ancient times. 
erodes,נשחק</hr>That is the paradox of such contamination; it erodes your ability to detect its presence. 
eroding,"שחיקה</hr>I think that the destruction is expanding through everyone’s memory—that their minds are eroding, as you put it. "
erroneous,"שגוי</hr>They postulated that there was a method to alter people’s memory with Subtractive power in a way that all the resulting disconnected parts of a person’s recollection would spontaneously reconstruct and connect themselves to one another, with the direct consequence being the creation of erroneous memory to fill the voids that had been created when the subject of the conjuring was wiped from people’s minds. "
esoteric,"אזוטרי</hr>There had been debate about it, of course, but no one could ever offer a purpose for such an esoteric book of magic. "
espionage,"ריגול</hr>It was nearly impossible to keep anything a secret, especially from her sisters, the youngest of whom—Hyacinth—could probably have won the war against Napoleon in half the time if His Majesty had only thought to draft her into the espionage service. "
etiquette,"נימוסי</hr>However, the people of the court have had their entire lives to study etiquette. "
eunuch,"הסריס</hr>He’s a eunuch, you fool. "
eunuchs,"סריסים</hr>“All Terrisman stewards are eunuchs, child. "
exasperation,"כעס</hr>“Important,” Ann repeated in weary exasperation. </hr>Vin asked with exasperation. "
executive,"אקזקיוטיב</hr>E L James FIFTY SHADES DARKER E L James is a former TV executive, wife, and mother of two based in West London. "
exhilarating,"מלהיב</hr>Kahlan had just won her first battle, and that accomplishment was exhilarating. "
expeditionary,המשלוח</hr>They are only one of Jagang’s expeditionary forces.” 
Exterior,"החיצוני</hr>“Exterior,” Sister Cecilia corrected. "
extravagance,"פזרנות</hr>Not like you, a pompous little twit who thinks herself important because of the extravagance of her tantrums, but a real queen. "
exuberance,"התרוממות רוח</hr>Despite everything on his mind, he could not help but to smile at Berdine’s exuberance. "
fabricated,"מפוברק</hr>My people are less than slaves . . . they’re fabricated automatons, created by breeding programs, trained from birth to fulfill the Lord Ruler’s wishes.” "
fabulous,נהדר</hr>It was a fabulous deal—one that might ordinarily have been suspicious. 
famished,רעב</hr>“You ladies must be famished. 
fanciful,"דמיוני</hr>Without the book, the boxes were only a fanciful tale.” "
fare,מחיר הנסיעה</hr>Tonight’s fare is the Lady Stase Blanches—she’s the one in the green dress sitting on the lower tier across from us.” 
farrier,"פרזול סוסים</hr>Tailors paint shears on their window, a weapons maker might paint the outline of knives over his door, a tavern might have a sign with a mug on it, a blacksmith an anvil, and a farrier might nail up horseshoes. "
fathom,"פתום</hr>As First Wizard, Zedd had abilities and talents that Richard could not begin to fathom, and yet those wizards in ancient times far surpassed Zedd’s gift. "
fatigue,"עייפות</hr>It enhances your physical abilities, making you stronger, more able to resist fatigue and pain. "
Fatigue,עייפות</hr>“Fatigue . . .” he whispered. 
fearful,"חושש</hr>First, she looked around, fearful that the witch woman might somehow be watching her. "
feasible,"בר ביצוע</hr>“It should be feasible,” he insisted. "
feign,"פייגן</hr>Noblemen feign nonchalance, but the mist makes them uncomfortable.” "
feint,"פיינט</hr>“What about a feint of some sort, then?” "
fetid,פטיד</hr>She thought she might vomit from the fetid smell of rotting flesh. 
fidelity,"נאמנות</hr>“Fidelity on your terms, fidelity even though you would continue to work for his destruction, even though you would continue to work for everything he stands against, fidelity even though you would continue to be sworn to the Keeper of the underworld, fidelity concocted of your selected, selfish wishes is just that—wishes. "
Fidelity,"נאמנות</hr>“Fidelity on your terms, fidelity even though you would continue to work for his destruction, even though you would continue to work for everything he stands against, fidelity even though you would continue to be sworn to the Keeper of the underworld, fidelity concocted of your selected, selfish wishes is just that—wishes. "
finagling,"פינאגלינג</hr>The other crewleader, Theron, had spent five years building, scamming, and finagling to create this moment. "
flair,כשרון</hr>“It has flair—and I do like the idea of having the noblemen kill each other.” 
flakes,"פתיתי</hr>Vin watched the downy flakes drift through the air. </hr>“The vial is filled with an alcohol solution and some flakes of metal, Vin.” "
Flare,פלייר</hr>“Flare?” 
fledgling,"אֶפְרוֹחַ</hr>Tresting nodded as he watched the crowd of lazy skaa, some working with their hoes, others on hands and knees, pushing the ash away from the fledgling crops. "
flexed,גמיש</hr>Vin flexed experimentally. 
flippancy,רפיון</hr>His flippancy was subdued; he seemed to be honestly considering the plan. 
flippant,רפיון</hr>“How can you be so flippant about something like this?” 
flown,"הוטס</hr>The time has flown by in a haze of new faces, work to do, and Mr. "
flunkies,פלונקיז</hr>I can handle a couple of Ministry flunkies.” 
flustered,"מבולבל</hr>They will assume that you are simply flustered by your first ball, and no harm will be done.” "
fold,"מקפלים</hr>He nodded and started to sit down, trying to fold himself back into the ridiculously small chair, then finally muttering something under his breath, turning to her with a slightly more intelligible, ""Excuse me,"" and moving to another, larger chair. "
fondness,"חיבה</hr>Since the time when Rachel had been with her before, Violet had acquired a new fondness for inflicting pain. "
foolhardy,"טיפש</hr>Groups composed of the extremely skillful, the extremely foolhardy, or the extremely talented. "
foreboding,"מבשר רעות</hr>This feeling was not dread so much as it was a sense of the great, but intangible, weight of foreboding. "
forges,"זיופים</hr>Well, scamming noblemen and obligators was a very dangerous profession—but it certainly beat working in the forges or the textile mills. "
forlorn,"עזוב</hr>If a place could be said to be forlorn, the immense structure of the Keep was such a place. "
former,"לשעבר</hr>E L James FIFTY SHADES DARKER E L James is a former TV executive, wife, and mother of two based in West London. "
formidable,"אימתני</hr>“They seem to be formidable, Excellency. </hr>Eloise Bridgerton, he was coming to realize, had a formidable will. "
forthcoming,בקרוב</hr>Not that you were forthcoming about that fact during our last meeting.” 
fortnight,"שבועיים</hr>""A fortnight,"" she supplied, hoping that was about the right amount of time. "
forward,"קדימה</hr>Lord Tresting frowned, glancing up at the ruddy midday sky as his servants scuttled forward, opening a parasol over Tresting and his distinguished guest. "
found,"ליסד</hr>He seemed to know as much about the Lord Ruler’s mythology as he did about other religions, though it seemed odd to her that he would study the very religion he found so oppressive. "
foyer,"מסדרון</hr>A crowd of aristocrats was pooling slightly in the foyer, waiting to enter the main hall. "
fragile,שביר</hr>It was hard to imagine a man handling such a fragile bloom. 
frail,שברירי</hr>His leathered skin and bald scalp made him look more frail than they did wise. 
freshly,טרי</hr>He needed just the right one for— He looked up and out the freshly washed glass. 
frilled,"מטומטם</hr>Vin accepted his hand, trying with as much grace as possible to pull the frilled, bulky bottom of her dress out of the carriage. "
fringe,שוליים</hr>The outer fringe of structures had seemed to take the brunt of the weather and as a result were the most deteriorated. 
frivolous,"קל דעת</hr>On burglaries or scouting missions, she had occasionally seen ornamental plants, but she’d never given them much heed—they, like many noble interests, had seemed frivolous to her. </hr>Not that they aren’t frivolous, of course, she thought, inspecting the four gowns. "
functionaries,"בעלי תפקידים</hr>Tresting had his own, personal obligators back at the manor, but they were only minor functionaries, with barely a few marks around their eyes. "
furrows,"תלמים</hr>Eventually, Kelsier sighed, then turned to pick his way across the furrows and pathways, weaving between large heaps of ash. "
gait,"הליכה</hr>With that, the older man turned and stalked in a limping gait from the room, slamming the door behind him. "
Garrison,גריסון</hr>We’re going to find a way to neutralize the Luthadel Garrison—leaving the area without a policing force. 
garrisons,חילות מצב</hr>There are troop garrisons there. 
