word,answer
fabricated,"מפוברק<hr>My people are less than slaves . . . they’re fabricated automatons, created by breeding programs, trained from birth to fulfill the Lord Ruler’s wishes.” "
fabulous,נהדר<hr>It was a fabulous deal—one that might ordinarily have been suspicious. 
famished,רעב<hr>“You ladies must be famished. 
fanciful,"דמיוני<hr>Without the book, the boxes were only a fanciful tale.” "
fare,מחיר הנסיעה<hr>Tonight’s fare is the Lady Stase Blanches—she’s the one in the green dress sitting on the lower tier across from us.” 
farrier,"פרזול סוסים<hr>Tailors paint shears on their window, a weapons maker might paint the outline of knives over his door, a tavern might have a sign with a mug on it, a blacksmith an anvil, and a farrier might nail up horseshoes. "
fathom,"פתום<hr>As First Wizard, Zedd had abilities and talents that Richard could not begin to fathom, and yet those wizards in ancient times far surpassed Zedd’s gift. "
fatigue,"עייפות<hr>It enhances your physical abilities, making you stronger, more able to resist fatigue and pain. "
Fatigue,עייפות<hr>“Fatigue . . .” he whispered. 
fearful,"חושש<hr>First, she looked around, fearful that the witch woman might somehow be watching her. "
feasible,"בר ביצוע<hr>“It should be feasible,” he insisted. "
feign,"פייגן<hr>Noblemen feign nonchalance, but the mist makes them uncomfortable.” "
feint,"פיינט<hr>“What about a feint of some sort, then?” "
fetid,פטיד<hr>She thought she might vomit from the fetid smell of rotting flesh. 
fidelity,"נאמנות<hr>“Fidelity on your terms, fidelity even though you would continue to work for his destruction, even though you would continue to work for everything he stands against, fidelity even though you would continue to be sworn to the Keeper of the underworld, fidelity concocted of your selected, selfish wishes is just that—wishes. "
Fidelity,"נאמנות<hr>“Fidelity on your terms, fidelity even though you would continue to work for his destruction, even though you would continue to work for everything he stands against, fidelity even though you would continue to be sworn to the Keeper of the underworld, fidelity concocted of your selected, selfish wishes is just that—wishes. "
finagling,"פינאגלינג<hr>The other crewleader, Theron, had spent five years building, scamming, and finagling to create this moment. "
flair,כשרון<hr>“It has flair—and I do like the idea of having the noblemen kill each other.” 
flakes,"פתיתי<hr>Vin watched the downy flakes drift through the air. </hr>“The vial is filled with an alcohol solution and some flakes of metal, Vin.” "
Flare,פלייר<hr>“Flare?” 
fledgling,"אֶפְרוֹחַ<hr>Tresting nodded as he watched the crowd of lazy skaa, some working with their hoes, others on hands and knees, pushing the ash away from the fledgling crops. "
flexed,גמיש<hr>Vin flexed experimentally. 
flippancy,רפיון<hr>His flippancy was subdued; he seemed to be honestly considering the plan. 
flippant,רפיון<hr>“How can you be so flippant about something like this?” 
flown,"הוטס<hr>The time has flown by in a haze of new faces, work to do, and Mr. "
flunkies,פלונקיז<hr>I can handle a couple of Ministry flunkies.” 
flustered,"מבולבל<hr>They will assume that you are simply flustered by your first ball, and no harm will be done.” "
fold,"מקפלים<hr>He nodded and started to sit down, trying to fold himself back into the ridiculously small chair, then finally muttering something under his breath, turning to her with a slightly more intelligible, ""Excuse me,"" and moving to another, larger chair. "
fondness,"חיבה<hr>Since the time when Rachel had been with her before, Violet had acquired a new fondness for inflicting pain. "
foolhardy,"טיפש<hr>Groups composed of the extremely skillful, the extremely foolhardy, or the extremely talented. "
foreboding,"מבשר רעות<hr>This feeling was not dread so much as it was a sense of the great, but intangible, weight of foreboding. "
forges,"זיופים<hr>Well, scamming noblemen and obligators was a very dangerous profession—but it certainly beat working in the forges or the textile mills. "
forlorn,"עזוב<hr>If a place could be said to be forlorn, the immense structure of the Keep was such a place. "
former,"לשעבר<hr>E L James FIFTY SHADES DARKER E L James is a former TV executive, wife, and mother of two based in West London. "
formidable,"אימתני<hr>“They seem to be formidable, Excellency. </hr>Eloise Bridgerton, he was coming to realize, had a formidable will. "
forthcoming,בקרוב<hr>Not that you were forthcoming about that fact during our last meeting.” 
fortnight,"שבועיים<hr>""A fortnight,"" she supplied, hoping that was about the right amount of time. "
forward,"קדימה<hr>Lord Tresting frowned, glancing up at the ruddy midday sky as his servants scuttled forward, opening a parasol over Tresting and his distinguished guest. "
found,"ליסד<hr>He seemed to know as much about the Lord Ruler’s mythology as he did about other religions, though it seemed odd to her that he would study the very religion he found so oppressive. "
foyer,"מסדרון<hr>A crowd of aristocrats was pooling slightly in the foyer, waiting to enter the main hall. "
fragile,שביר<hr>It was hard to imagine a man handling such a fragile bloom. 
frail,שברירי<hr>His leathered skin and bald scalp made him look more frail than they did wise. 
freshly,טרי<hr>He needed just the right one for— He looked up and out the freshly washed glass. 
frilled,"מטומטם<hr>Vin accepted his hand, trying with as much grace as possible to pull the frilled, bulky bottom of her dress out of the carriage. "
fringe,שוליים<hr>The outer fringe of structures had seemed to take the brunt of the weather and as a result were the most deteriorated. 
frivolous,"קל דעת<hr>On burglaries or scouting missions, she had occasionally seen ornamental plants, but she’d never given them much heed—they, like many noble interests, had seemed frivolous to her. </hr>Not that they aren’t frivolous, of course, she thought, inspecting the four gowns. "
functionaries,"בעלי תפקידים<hr>Tresting had his own, personal obligators back at the manor, but they were only minor functionaries, with barely a few marks around their eyes. "
furrows,"תלמים<hr>Eventually, Kelsier sighed, then turned to pick his way across the furrows and pathways, weaving between large heaps of ash. "
gait,"הליכה<hr>With that, the older man turned and stalked in a limping gait from the room, slamming the door behind him. "
Garrison,גריסון<hr>We’re going to find a way to neutralize the Luthadel Garrison—leaving the area without a policing force. 
